LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Male,BICHON FRISE,WHITE,ROCKY,15227,2099,10/4/2018 12:47:43 PM
Dog Senior Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,JAKE,15137,2099,9/30/2020 12:42:05 PM
Dog Senior Lifetime Neutered Male,SHETLAND SHEEPDOG,BLONDE,WINSTON,15236,2099,7/13/2009 12:36:39 PM
Dog Senior Lifetime Spayed Female,MIXED,BLACK,BANDIT,15243,2099,6/18/2019 1:36:41 PM
Dog Lifetime Neutered Male,NEAPOLITAN MASTIFF,BRINDLE,LOKI,15229,2099,5/13/2019 1:16:27 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JAKE,15129,2099,6/21/2004 12:00:00 AM
Dog Lifetime Spayed Female,JINDO,WHITE,KIARA,15236,2099,6/11/2019 12:43:28 PM
Dog Lifetime Spayed Female,PARSON RUSSELL TERR,SPOTTED,MOLLY,15122,2099,6/10/2009 12:35:50 PM
Dog Lifetime Neutered Male,MIXED,BLACK/BROWN,BUSTER,15101,2099,9/23/2011 9:36:11 AM
Dog Lifetime Spayed Female,MIXED,SPOTTED,SHILOH,15129,2099,1/20/2006 12:00:00 AM
Dog Lifetime Spayed Female,BASSET HOUND,WHITE/TAN,DAISY,15135,2099,2/4/2008 1:37:44 PM
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,BEAR,15136,2099,4/30/2020 11:41:38 AM
Dog Lifetime Spayed Female,RAT TERRIER,WHITE/BLACK/BROWN,SASHA,15044,2099,1/7/2011 3:56:33 PM
Dog Senior Lifetime Neutered Male,GOLDEN RETRIEVER,BROWN,BUDDY,15238,2099,4/7/2010 11:50:26 AM
Dog Senior Lifetime Spayed Female,MIXED,SPOTTED,TINA,15147,2099,1/3/2019 10:26:15 AM
Dog Lifetime Spayed Female,LAB MIX,BROWN,BLONDIE,15140,2099,7/18/2005 12:00:00 AM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERR MIX,BROWN,MEGAN,15104,2099,7/19/2016 12:42:00 PM
Dog Lifetime Neutered Male,SHIH TZU,TRI-COLOR,PLUTO,15202,2099,3/28/2017 12:34:06 PM
Dog Lifetime Neutered Male,HOUND MIX,TRI-COLOR,BUDDY,15239,2099,3/4/2020 2:10:58 PM
Dog Lifetime Spayed Female,HOUND MIX,WHITE/BROWN,GEMMA,15146,2099,2/6/2007 2:52:26 PM
Dog Senior Lifetime Neutered Male,TERRIER MIX,WHITE/BROWN,ROCKY,15239,2099,6/16/2008 10:57:11 AM
Dog Lifetime Spayed Female,MIXED,BLACK/TAN,BRUTA,15148,2099,1/21/2009 1:52:17 PM
Dog Lifetime Neutered Male,SHETLAND SHEEPDOG,SABLE,CODY,15018,2099,1/25/2007 3:43:22 PM
Dog Lifetime Neutered Male,MIXED,BLACK,JOEY,15223,2099,11/9/2020 12:41:10 PM
Dog Lifetime Spayed Female,MIXED,SPOTTED,GRACIE,15136,2099,7/23/2020 12:31:21 PM
Dog Lifetime Male,GREAT DANE,BLUE,THEO,15044,2099,8/5/2019 2:16:34 PM
Dog Senior Lifetime Female,LABRADOR RETRIEVER,WHITE,GRACIE,15139,2099,6/18/2020 11:05:11 AM
Dog Lifetime Neutered Male,PUGGLE,BLACK/BROWN,BUBBA,15144,2099,7/3/2017 9:58:07 AM
Dog Senior Lifetime Neutered Male,MIXED,CREAM,MURPHY,15236,2099,10/15/2019 11:07:34 AM
Dog Lifetime Spayed Female,COCKER SPANIEL MIX,WHITE/TAN,GRACIE,15122,2099,12/11/2008 7:22:09 AM
Dog Lifetime Spayed Female,LABRADOODLE,BROWN,SAMANTHA,15108,2099,3/27/2017 2:31:57 PM
Dog Lifetime Spayed Female,BLUE HEELER,WHITE/BLACK,GYPSY ROSE LEE,15086,2099,4/23/2013 8:38:47 AM
Dog Lifetime Spayed Female,AM PITT BULL MIX,BRINDLE,HARLEY,15120,2099,3/15/2018 1:25:08 PM
Dog Lifetime Spayed Female,AUS SHEPHERD,MULTI,SASHA,15238,2099,2/25/2004 12:00:00 AM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,BRITANY,15227,2099,8/29/2019 11:49:00 AM
Dog Lifetime Spayed Female,POODLE MIX,MULTI,MIA,15145,2099,7/7/2008 10:03:06 AM
Dog Lifetime Spayed Female,GER SHEPHERD MIX,BLACK,EMMA,15146,2099,9/6/2018 12:38:40 PM
Dog Lifetime Spayed Female,SHIH TZU MIX,MULTI,JAZZIE BABIE,15068,2099,7/28/2008 2:01:27 PM
Dog Lifetime Spayed Female,JACK RUSSEL TERRIER,WHITE,LUCY,15205,2099,5/22/2017 10:34:15 AM
Dog Lifetime Spayed Female,ENG BULLDOG,WHITE,BUTTERCUP,15132,2099,5/8/2019 12:18:15 PM
Dog Lifetime Neutered Male,SHIH TZU,BLACK,TYRONE,15146,2099,4/28/2010 2:27:37 PM
Dog Lifetime Neutered Male,SHIH TZU,BRINDLE,BRUSTER,15146,2099,4/28/2010 2:27:37 PM
Dog Lifetime Neutered Male,SHIH TZU MIX,WHITE/BLACK/BROWN,SOCKS,15237,2099,9/4/2019 1:42:18 PM
Dog Lifetime Duplicate,MIXED,BLACK,SHADOW,15243,2099,5/14/2010 2:23:37 PM
Dog Lifetime Neutered Male,MIXED,BLACK,SHADOW,15243,2099,12/2/2008 8:42:15 AM
Dog Lifetime Neutered Male,COCKAPOO,RED,RUSTY,15135,2099,6/5/2020 10:40:21 AM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,IZZIE,15108,2099,3/26/2009 8:59:54 AM
Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,THEO,15047,2099,3/5/2019 12:31:53 PM
Dog Lifetime Spayed Female,BORD COLLIE MIX,WHITE/BLACK,MAGGIE,15137,2099,2/5/2020 9:49:16 AM
Dog Senior Lifetime Spayed Female,AUS SHEPHERD,BLACK,BABY,15238,2099,3/12/2008 9:08:22 AM
Dog Senior Lifetime Neutered Male,BEAGLE MIX,WHITE/BROWN,MAXX,15101,2099,6/30/2020 1:46:24 PM
Dog Lifetime Spayed Female,CHIHUAHUA,TAN,TAFFY,15235,2099,1/19/2007 10:43:15 AM
Dog Lifetime Neutered Male,SAMOYED,WHITE,RENEGADE,15025,2099,9/13/2019 2:19:12 PM
Dog Lifetime Neutered Male,MIXED,BROWN,OZZY,15145,2099,12/10/2019 11:58:01 AM
Dog Lifetime Neutered Male,BELG LAEKENOIS,BLACK/BROWN,SEGEN,15147,2099,6/3/2008 12:11:38 PM
Dog Lifetime Spayed Female,ENG BULLDOG,WHITE/TAN,CHUBBY,15205,2099,7/16/2013 12:37:24 PM
Dog Senior Lifetime Neutered Male,SFT COAT WHEAT TERR,WHITE/TAN,CUBBY,15143,2099,2/22/2018 2:30:36 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,LAILA,15106,2099,10/20/2020 12:20:44 PM
Dog Lifetime Neutered Male,BORD COLLIE MIX,BLACK,SAMMY,15108,2099,6/3/2008 11:40:06 AM
Dog Senior Lifetime Neutered Male,JACK RUSSEL TERRIER,SPOTTED,HARLEY,15143,2099,10/9/2019 1:33:01 PM
Dog Lifetime Spayed Female,BOXER MIX,BLACK WITH WHITE,HANNAH,15229,2099,5/13/2009 12:38:39 PM
Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CODY,15037,2099,2/24/2006 12:00:00 AM
Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CHARLIE,15037,2099,2/24/2006 12:00:00 AM
Dog Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/BROWN,COLT,15037,2099,2/24/2006 12:00:00 AM
Dog Lifetime Spayed Female,MIN PINSCHER,BLACK/BROWN,CANDY,15037,2099,2/24/2006 12:00:00 AM
Dog Lifetime Spayed Female,BOSTON TERRIER,BRINDLE,MAISIE,15237,2099,5/6/2015 2:04:49 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BROWN,PIPER,15227,2099,7/29/2019 9:55:50 AM
Dog Lifetime Neutered Male,SILKY TERRIER,BLACK/BROWN,DESI LOU,15044,2099,1/28/2009 3:19:13 PM
Dog Senior Lifetime Neutered Male,SILKY TERRIER,BLACK/BROWN,DESI LOU,15044,2099,1/28/2009 3:19:13 PM
Dog Senior Lifetime Spayed Female,SILKY TERRIER,BLACK/SILVER,LUCY,15044,2099,1/28/2009 3:19:13 PM
Dog Lifetime Spayed Female,SILKY TERRIER,BLACK/SILVER,LUCY,15044,2099,1/28/2009 3:19:13 PM
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,BROWN,BARKER,15238,2099,9/22/2009 8:20:25 AM
Dog Senior Lifetime Male,MIXED,BLACK/TAN/WHITE,PONCHO,15218,2099,11/29/2017 10:05:33 AM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/TAN,MADDIE,15227,2099,12/10/2019 12:04:07 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK,COLE,15126,2099,9/24/2019 1:27:39 PM
Dog Senior Lifetime Spayed Female,POMERANIAN,RED,FOXY,15037,2099,2/12/2018 10:16:32 AM
Dog Lifetime Neutered Male,FOX TERRIER SMOOTH,WHITE/BLACK,CORI,15025,2099,6/9/2008 10:00:56 AM
Dog Lifetime Spayed Female,JACK RUSSEL TERRIER,WHITE/BROWN,CHEYENE,15108,2099,2/19/2019 1:52:49 PM
Dog Lifetime Neutered Male,JACK RUSSEL TERRIER,WHITE,LOKI,15239,2099,
Dog Lifetime Male,JACK RUSSEL TERRIER,WHITE,LOKI,15239,2099,1/16/2019 12:16:23 PM
Dog Lifetime Spayed Female,BOXER,WHITE,ADRIAN,15108,2099,4/18/2018 8:41:47 AM
Dog Lifetime Neutered Male,GR SWISS MTN DOG,WHITE/BLACK/BROWN,TUDDIE,15135,2099,6/9/2020 1:32:49 PM
Dog Lifetime Spayed Female,SAMOYED,WHITE,KEENA,15235,2099,2/14/2006 12:00:00 AM
Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BROWN,LOLA,15235,2099,7/20/2018 11:47:47 AM
Dog Senior Lifetime Spayed Female,W HGHLND WH TERRIER,WHITE,TINKIE,15147,2099,5/11/2017 11:28:09 AM
Dog Lifetime Spayed Female,COCKAPOO,BLONDE,MACY ANN,15237,2099,9/19/2018 11:53:29 AM
Dog Lifetime Neutered Male,BOXER,BROWN,TOBY,15037,2099,3/12/2008 12:46:55 PM
Dog Lifetime Duplicate,BOXER,BROWN,TOBY,15037,2099,5/1/2012 10:31:05 AM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,WHITE/BROWN,BELLA,15237,2099,7/29/2020 2:22:47 PM
Dog Lifetime Spayed Female,MIXED,BROWN,HATTY,15146,2099,10/17/2017 12:39:40 PM
Dog Lifetime Spayed Female,DACHSHUND,WHITE/RED,BUTTERS,15143,2099,5/9/2017 1:58:40 PM
Dog Lifetime Spayed Female,LHASA APSO,WHITE/BLACK,SADIE,15108,2099,12/12/2008 8:08:49 AM
Dog Lifetime Spayed Female,GOLDENDOODLE,WHITE/BLACK,BIANCA,15241,2099,4/19/2018 1:22:59 PM
Dog Lifetime Neutered Male,WHIPPET,WHITE/RED,ETHAN,15122,2099,2/11/2009 3:24:19 PM
Dog Lifetime Duplicate,WHIPPET,WHITE/RED,ETHAN,15122,2099,3/2/2011 9:05:50 AM
Dog Lifetime Duplicate,WHIPPET,WHITE/RED,ETHAN,15122,2099,4/25/2014 9:03:55 AM
Dog Lifetime Spayed Female,WELSH CORGI CARDIGA,BROWN,TAILYN,15147,2099,10/7/2020 12:53:04 PM
Dog Lifetime Neutered Male,LAB MIX,BROWN,JARVIS,15146,2099,5/27/2020 8:42:20 AM
Dog Lifetime Spayed Female,W HGHLND WH TERRIER,WHITE,WHITNEY,15090,2099,1/9/2008 10:04:17 AM
Dog Lifetime Neutered Male,BOXER,BROWN,CHEN,15146,2099,5/19/2020 3:32:14 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK,AMOS,15215,2099,2/19/2004 12:00:00 AM
Dog Lifetime Female,SFT COAT WHEAT TERR,BROWN,LUNA,15102,2099,2/3/2020 10:20:45 AM
Dog Lifetime Spayed Female,AUS CATTLE DOG,MULTI,MIA,15101,2099,10/28/2020 12:49:21 PM
Dog Lifetime Male,YORKSHIRE TERRIER,BLACK/TAN,VINCENT,15205,2099,11/22/2019 12:40:38 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,BUCK,15071,2099,4/25/2011 2:00:32 PM
Dog Lifetime Neutered Male,LAB MIX,BROWN,BOJANGLES,15102,2099,3/9/2020 11:33:51 AM
Dog Lifetime Neutered Male,POODLE MIN,BLACK,RICO,15215,2099,2/26/2008 1:57:10 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK,ZEKE,15221,2099,2/10/2017 12:44:36 PM
Dog Lifetime Neutered Male,RETRIEVER MIX,BRINDLE,BEAR,15236,2099,10/2/2006 12:00:00 AM
Dog Lifetime Duplicate,RETRIEVER MIX,BRINDLE,BEAR,15236,2099,6/8/2010 12:19:45 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,BUSTER,15044,2099,10/28/2019 12:36:45 PM
Dog Lifetime Spayed Female,CHIHUAHUA MIX,BROWN,ABBY,15236,2099,7/2/2019 11:48:08 AM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,HOLLY,15131,2099,4/17/2009 12:29:40 PM
Dog Senior Lifetime Spayed Female,BEAGLE,WHITE/BLACK/BROWN,SANDY,15034,2099,1/21/2014 12:08:40 PM
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,BLONDE,BEAR,15090,2099,6/30/2008 9:57:12 AM
Dog Senior Lifetime Neutered Male,SCHNAUZER MIN,SALT/PEPPER,ZIGGY,15209,2099,7/21/2020 2:25:01 PM
Dog Lifetime Neutered Male,ROTTWEILER MIX,WHITE/BLACK/BROWN,BRUCE,15068,2099,8/27/2019 1:43:38 PM
Dog Lifetime Neutered Male,MIXED,RED/BROWN,TATE,15236,2099,4/18/2018 12:11:01 PM
Dog Senior Lifetime Neutered Male,LAB MIX,BLACK,DUKE,15104,2099,1/11/2011 3:04:35 PM
Dog Lifetime Neutered Male,BORD COLLIE,BLACK WITH WHITE,BOB WILSON,15131,2099,9/1/2016 4:16:06 PM
Dog Lifetime Spayed Female,MIXED,BROWN,INDY,15108,2099,7/21/2020 10:48:31 AM
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,WHITE/BLACK/BROWN,GUCCI,15131,2099,8/1/2019 11:58:24 AM
Dog Lifetime Male,GER SHEPHERD,BLACK,APACHE,15126,2099,8/27/2019 1:31:22 PM
Dog Lifetime Spayed Female,YORKSHIRE TERRIER,SILVER,DIVA,15131,2099,8/1/2019 11:58:24 AM
Dog Senior Lifetime Female,BOSTON TERRIER,WHITE/BLACK,DAISY MAE,15139,2099,4/15/2019 12:14:12 PM
Dog Lifetime Neutered Male,LAB MIX,BLACK,MURRAY,15237,2099,6/12/2017 9:36:14 AM
Dog Lifetime Neutered Male,MIXED,WHITE,ALFRED,15202,2099,2/5/2019 9:20:58 AM
Dog Senior Lifetime Spayed Female,BASSET HOUND,WHITE/RED,JOZIE,15044,2099,5/8/2017 2:30:22 PM
Dog Lifetime Male,LAB MIX,BLACK,COLE,15227,2099,6/18/2020 10:31:03 AM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,COOPER,15626,2099,6/2/2008 1:38:49 PM
Dog Senior Lifetime Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,PIXIE,15122,2099,1/14/2019 2:32:29 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,ROSIE,15102,2099,12/10/2019 3:07:10 PM
Dog Senior Lifetime Spayed Female,AM PITT BULL MIX,WHITE/BLACK,JOSIE,15237,2099,4/2/2019 2:14:04 PM
Dog Lifetime Spayed Female,MIXED,BLACK,LUCY,15037,2099,3/6/2017 10:51:59 AM
Dog Lifetime Spayed Female,DACHSHUND,BRINDLE,DORY,15146,2099,5/24/2017 1:31:51 PM
Dog Lifetime Spayed Female,BOXER,WHITE,MADISON,15137,2099,2/18/2004 12:00:00 AM
Dog Lifetime Spayed Female,RAT TERRIER,WHITE/BROWN,ROXIE,15228,2099,5/31/2017 3:32:59 PM
Dog Lifetime Neutered Male,DACHSHUND,BLACK/BROWN,THEODORE,15102,2099,7/21/2020 2:29:54 PM
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,JONES,15214,2099,1/15/2009 2:20:22 PM
Dog Lifetime Neutered Male,DOGUE DE BORDEAUX,BROWN,HANK,15025,2099,4/23/2009 3:19:46 PM
Dog Lifetime Neutered Male,SCHNAUZER MIN,BLACK,CHASE,15146,2099,6/7/2017 1:38:58 PM
Dog Lifetime Male,GER SHEPHERD,SABLE,SERGEANT,15132,2099,12/27/2017 10:50:28 AM
Dog Lifetime Neutered Male,SHIH TZU,BRINDLE,SULLIVAN,15044,2099,1/21/2009 11:22:19 AM
Dog Lifetime Spayed Female,POINTER,WHITE/BLACK,DIXIE,15237,2099,5/7/2008 10:53:08 AM
Dog Lifetime Neutered Male,MIXED,BROWN,TATE,15239,2099,10/22/2020 12:41:57 PM
Dog Lifetime Spayed Female,DACHSHUND,BLACK,EVA,15237,2099,2/7/2011 11:05:42 AM
Dog Lifetime Neutered Male,DACHSHUND,BLACK/BROWN,SAMMY,15202,2099,5/30/2007 2:48:53 PM
Dog Lifetime Neutered Male,ITALIAN GREYHOUND,GREY,LUIGI,15137,2099,2/8/2019 12:48:12 PM
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,SUNNY,15116,2099,5/30/2017 12:48:41 PM
Dog Lifetime Neutered Male,DACHSHUND MIX,SPOTTED,MILES,15101,2099,1/16/2020 8:04:26 AM
Dog Lifetime Spayed Female,POODLE STANDARD,SPOTTED,CHLOE,15241,2099,5/3/2019 3:01:50 PM
Dog Lifetime Spayed Female,BOSTON TERRIER,WHITE/BLACK,MINNIE,15235,2099,5/16/2018 9:43:41 AM
Dog Lifetime Spayed Female,POINTER,ORANGE/WHITE,ANNAMAE,15237,2099,5/7/2008 10:53:08 AM
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK/CREAM,TUXON,15216,2099,6/3/2020 9:13:45 AM
Dog Lifetime Spayed Female,LAB MIX,BLACK,LUNA,15122,2099,2/11/2020 2:42:52 PM
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,QUINN,15241,2099,8/14/2017 10:20:07 AM
Dog Lifetime Spayed Female,JACK RUSSEL TERRIER,SPOTTED,ANNIE,15084,2099,12/1/2017 10:45:32 AM
Dog Lifetime Male,BORD COLLIE,BLACK,TENNESEE TUXEDO,15221,2099,10/4/2005 12:00:00 AM
Dog Lifetime Neutered Male,POMERANIAN,BLACK,STARK,15146,2099,7/9/2020 1:00:27 PM
Dog Lifetime Neutered Male,GOLDENDOODLE,BROWN,REMY,15236,2099,6/26/2019 9:39:08 AM
Dog Lifetime Spayed Female,COCKER SPANIEL MIX,RED,HOLLY,15221,2099,10/4/2005 12:00:00 AM
Dog Lifetime Neutered Male,PUGGLE,TAN,TODD,15035,2099,3/18/2009 8:36:14 AM
Dog Lifetime Male,AM PIT BULL TERRIER,TRI-COLOR,ODIN,15044,2099,3/16/2018 12:42:53 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK,MAIA,15144,2099,3/27/2018 12:43:39 PM
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,KINA,15120,2099,3/1/2007 10:49:24 AM
Dog Senior Lifetime Spayed Female,AM ESKIMO DOG,WHITE,KINA,15120,2099,3/1/2007 10:49:24 AM
Dog Lifetime Spayed Female,POINTER,WHITE,KANAS,15237,2099,5/7/2008 10:53:08 AM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SAMMI,15044,2099,11/25/2019 11:46:52 AM
Dog Senior Lifetime Spayed Female,DALMATIAN,SPOTTED,MONTANA,15238,2099,8/12/2010 2:30:49 PM
Dog Lifetime Neutered Male,GER SHEPHERD MIX,WHITE/BROWN,MARIO,15143,2099,11/7/2019 2:35:31 PM
Dog Senior Lifetime Neutered Male,SCHNAUZER MIN,BLACK,CHARLIE,15235,2099,2/9/2009 2:46:48 PM
Dog Senior Lifetime Neutered Male,HOUND MIX,BLACK,RICKY,15146,2099,3/22/2019 12:29:21 PM
Dog Lifetime Neutered Male,BLUE HEELER,WHITE/BLACK,MAVERICK,15101,2099,2/14/2020 9:08:56 AM
Dog Senior Lifetime Neutered Male,CAIRN TERRIER,WHEATON,BRODIE,15229,2099,11/16/2018 1:09:38 PM
Dog Senior Lifetime Spayed Female,BICHON FRISE,WHITE,IZZY,15106,2099,2/19/2015 8:51:10 AM
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK/BROWN,BRUNO,15090,2099,10/20/2009 11:19:07 AM
Dog Senior Lifetime Spayed Female,PUG,BLACK/FAWN,DAISY,15131,2099,6/18/2020 10:50:04 AM
Dog Lifetime Spayed Female,LAB MIX,WHITE/BROWN,LUNA,15102,2099,3/26/2018 2:31:43 PM
Dog Lifetime Spayed Female,AM ESKIMO DOG,WHITE,ISIS,15205,2099,2/27/2007 2:32:24 PM
Dog Lifetime Neutered Male,GER SHEPHERD MIX,WHITE/BLACK/BROWN,NINJA,15237,2099,1/28/2011 12:06:41 PM
Dog Lifetime Neutered Male,BLACK&TAN COONHOUND,BLACK/BROWN,GUINNESS,15065,2099,4/8/2011 2:46:33 PM
Dog Senior Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK/TAN,TEDDY,15132,2099,10/29/2018 11:06:57 AM
Dog Lifetime Neutered Male,MALTESE,WHITE,BARFI,15068,2099,11/25/2019 1:51:36 PM
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,JACKSON,15090,2099,3/3/2020 2:32:02 PM
Dog Lifetime Spayed Female,BOXER,BRINDLE,PEPPER,15237,2099,1/28/2019 11:59:08 AM
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,CHASE,15220,2099,8/23/2018 2:28:48 PM
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/RED,QUAILA,15131,2099,2/17/2004 12:00:00 AM
Dog Lifetime Spayed Female,BEAGLE,MULTI,ANGEL,15205,2099,2/12/2015 3:59:29 PM
Dog Lifetime Spayed Female,NEWFOUNDLAND,BLACK,WINTER,15143,2099,6/7/2019 12:18:09 PM
